Date	Price	Open	High	Low	Vol.	Change %
Apr 30, 2020	17690.49	18209.12	18302.85	17654.66	597.32M	-2.09%
Apr 29, 2020	18067.29	17615.96	18075.65	17608.52	477.98M	2.21%
Apr 28, 2020	17677.15	17428	17940.84	17413	496.79M	1.71%
Apr 27, 2020	17380.21	17313.48	17380.21	17163.85	307.77M	3.09%
Apr 24, 2020	16858.89	16640.17	17155.11	16640.17	349.28M	-0.89%
Apr 23, 2020	17011.11	16925.36	17145.44	16778.15	392.98M	1.47%
Apr 22, 2020	16765.28	16615	16770.44	16555.34	347.50M	1.91%
Apr 21, 2020	16450.85	16811.87	16934.52	16450.85	401.99M	-3.59%
Apr 20, 2020	17064.14	17144.35	17155.39	16785.73	339.57M	0.05%
Apr 17, 2020	17055.47	17152.83	17307.65	16963.93	469.22M	1.71%
Apr 16, 2020	16768.14	17003.45	17160.91	16729.63	453.15M	0.29%
Apr 15, 2020	16719.07	17454.94	17543.27	16719.07	536.65M	-4.78%
Apr 14, 2020	17558.43	17821.88	17831.01	17507.07	443.87M	-0.36%
Apr 09, 2020	17621.62	17685.56	17756.01	17360.48	553.98M	1.39%
Apr 08, 2020	17380.82	17212.38	17405.79	17196.03	476.31M	-0.18%
Apr 07, 2020	17411.72	17587.81	17887.12	17177.73	679.85M	2.19%
Apr 06, 2020	17039.31	16769.13	17053.91	16764.81	528.13M	4.00%
Apr 03, 2020	16384.35	16742.07	16791.08	16384.35	547.57M	-2.67%
Apr 02, 2020	16834.03	16660.09	16878.3	16413.72	580.52M	1.75%
Apr 01, 2020	16544.97	16600.06	16845.15	16500.42	515.03M	-2.97%
Mar 31, 2020	17050.94	17096.96	17292.15	16694.89	698.06M	1.06%
Mar 30, 2020	16872.41	16855.94	16925.07	16312.9	551.31M	0.30%
Mar 27, 2020	16822.59	17039.45	17283.44	16666.74	590.90M	-3.15%
Mar 26, 2020	17369.38	16876.51	17369.38	16834.79	712.23M	0.73%
Mar 25, 2020	17243.68	17246.83	17830.36	16581.76	906.28M	1.74%
Mar 24, 2020	16948.6	15977.53	16948.6	15969.74	847.37M	8.93%
Mar 23, 2020	15559.8	15318.26	15788.7	15091.98	768.02M	-1.09%
Mar 20, 2020	15731.85	15772.98	16180.17	15616.9	1.22B	1.71%
Mar 19, 2020	15466.97	15417.2	15844.08	15038.08	1.02B	2.29%
Mar 18, 2020	15120.48	14985.81	15438.23	14791.72	796.19M	-1.27%
Mar 17, 2020	15314.77	15420.49	15809.66	14695.72	1.04B	2.23%
Mar 16, 2020	14980.34	15697.47	15699.27	14153.09	1.22B	-6.10%
Mar 13, 2020	15954.29	15108.11	17545.44	15106.6	1.27B	7.12%
Mar 12, 2020	14894.44	17654.04	17659.86	14894.44	1.54B	-16.92%
Mar 11, 2020	17928.64	18171.76	18410.29	17674.69	916.16M	0.33%
Mar 10, 2020	17870.18	18653.9	19174.77	17771.88	1.10B	-3.28%
Mar 09, 2020	18475.91	20780.87	20780.87	18346.4	1.27B	-11.17%
Mar 06, 2020	20799.89	20986.89	21151.36	20624.42	864.92M	-3.50%
Mar 05, 2020	21554.88	22011.67	22034.94	21362.09	772.85M	-1.78%
Mar 04, 2020	21946.03	21739.8	22204.01	21499.93	724.37M	0.91%
Mar 03, 2020	21748.2	22116.28	22340.46	21651.36	799.97M	0.43%
Mar 02, 2020	21655.09	22333.17	22361.13	21118.83	924.41M	-1.50%
Feb 28, 2020	21984.21	22058.99	22334.72	21697.94	1.05B	-3.58%
Feb 27, 2020	22799.37	22968.63	23077.82	22479.6	781.15M	-2.66%
Feb 26, 2020	23422.54	22961.01	23599.85	22637.93	737.76M	1.44%
Feb 25, 2020	23090.44	23585.59	23630.43	23046.19	664.95M	-1.44%
Feb 24, 2020	23427.19	23918.6	24005.21	23255.26	977.13M	-5.43%
Feb 21, 2020	24773.15	24979.32	25129.98	24670.24	638.71M	-1.22%
Feb 20, 2020	25080.16	25414.77	25419.96	25080.16	445.15M	-1.56%
Feb 19, 2020	25477.55	25352.69	25483.05	25271.72	464.70M	1.01%
Feb 18, 2020	25223.51	24985.71	25389.46	24969.75	737.04M	0.41%
Feb 17, 2020	25120.54	24961.76	25120.54	24903	315.46M	1.02%
Feb 14, 2020	24867.01	24942.1	24983.12	24831.96	341.38M	-0.10%
Feb 13, 2020	24892.15	24769.05	24892.15	24588.46	526.07M	0.12%
Feb 12, 2020	24861.28	24738.21	24901.59	24734.87	462.48M	0.70%
Feb 11, 2020	24688.89	24616.66	24762.66	24533.75	405.69M	0.74%
Feb 10, 2020	24507.7	24437.06	24585.13	24388.88	297.20M	0.12%
Feb 07, 2020	24478.32	24465.18	24523.42	24371.83	411.44M	-0.05%
Feb 06, 2020	24490.35	24347.99	24513.81	24338.09	531.89M	1.05%
Feb 05, 2020	24236.63	23815.72	24270.46	23745.98	564.24M	1.64%
Feb 04, 2020	23844.85	23572.77	23900.76	23542.06	479.89M	1.64%
Feb 03, 2020	23460.01	23297.09	23466.34	23218.72	363.18M	0.96%
Jan 31, 2020	23237.03	23863.15	23873.05	23207.9	557.66M	-2.29%
Jan 30, 2020	23781.1	23892.3	23982.66	23687.64	454.73M	-1.59%
Jan 29, 2020	24164.73	24052.97	24197.66	23969.03	356.52M	0.57%
Jan 28, 2020	24027.63	23544.56	24027.63	23429.19	428.29M	2.61%
Jan 27, 2020	23416.13	23713.12	23977.56	23384.04	506.93M	-2.31%
Jan 24, 2020	23969.13	23848.46	24083.13	23848.46	368.59M	1.11%
Jan 23, 2020	23707.05	23716.43	23901.15	23611.2	379.43M	0.00%
Jan 22, 2020	23706.29	23887.83	23906.79	23680.4	424.39M	-0.58%
Jan 21, 2020	23845.28	23858.03	23860.16	23645.3	332.90M	-0.65%
Jan 20, 2020	24002.45	24032.65	24084.94	23973.43	218.20M	-0.57%
Jan 17, 2020	24141.07	24042.6	24168.66	24010.86	319.93M	0.84%
Jan 16, 2020	23940.41	23861.55	23960.79	23760.3	361.88M	0.74%
Jan 15, 2020	23763.86	23902.76	23931.8	23719.45	341.18M	-0.69%
Jan 14, 2020	23928.21	23931.94	23947.97	23706.43	350.71M	0.13%
Jan 13, 2020	23896.59	24061.45	24061.45	23829.41	340.84M	-0.52%
Jan 10, 2020	24021.4	24061.43	24146.55	23966.36	326.01M	0.02%
Jan 09, 2020	24016.7	23979.65	24078.29	23963.51	430.64M	0.77%
Jan 08, 2020	23832.02	23550.61	23893.01	23480.62	472.51M	0.46%
Jan 07, 2020	23723.38	23688.25	23793.67	23635.9	306.34M	0.60%
Jan 06, 2020	23581.29	23565.92	23607.54	23265.21	349.16M	-0.51%
Jan 03, 2020	23702.35	23709.9	23759.89	23516.81	325.92M	-0.56%
Jan 02, 2020	23836.26	23606.97	23861.99	23571.59	264.54M	1.40%
Dec 30, 2019	23506.37	23712.11	23735.93	23506.37	212.21M	-1.06%
Dec 27, 2019	23757.6	23867.96	23898.6	23732.27	274.19M	-0.59%
Dec 23, 2019	23898.42	23918.55	23941.26	23845.21	229.77M	-0.44%
Dec 20, 2019	24003.64	23842.28	24003.64	23836.96	793.56M	1.24%
Dec 19, 2019	23708.94	23647.05	23710.17	23583.12	374.67M	0.34%
Dec 18, 2019	23628.87	23645.91	23738.05	23627.21	311.23M	-0.01%
Dec 17, 2019	23630.77	23535.62	23716.58	23481.76	343.98M	0.45%
Dec 16, 2019	23524.76	23436.29	23549.6	23388.12	276.51M	0.84%
Dec 13, 2019	23329.33	23713.61	23727.56	23272.24	478.94M	-0.26%
Dec 12, 2019	23390.95	23229.13	23487.72	23161.14	413.35M	1.02%
Dec 11, 2019	23155.64	23101.34	23202.62	23038.08	283.42M	0.14%
Dec 10, 2019	23122.82	22935.88	23141.46	22789.78	298.17M	0.72%
Dec 09, 2019	22956.9	23214.72	23233.11	22855.96	302.72M	-0.97%
Dec 06, 2019	23182.72	23055.17	23219.63	22940.32	294.14M	0.93%
Dec 05, 2019	22969.4	23049.47	23190.81	22946.44	298.65M	-0.28%
Dec 04, 2019	23034.2	22736.58	23035.66	22732.8	324.50M	1.31%
Dec 03, 2019	22736.52	22845.38	22987.19	22581.12	367.76M	0.03%
Dec 02, 2019	22728.59	23297.68	23402.95	22698.17	452.95M	-2.28%
Nov 29, 2019	23259.33	23267.74	23425.3	23206.91	265.98M	-0.36%
Nov 28, 2019	23342.42	23401.35	23481.09	23270.48	237.62M	-0.61%
Nov 27, 2019	23485.03	23624.06	23651.44	23451.85	332.17M	-0.26%
Nov 26, 2019	23546.58	23475.62	23570.1	23359.16	473.71M	0.34%
Nov 25, 2019	23467.25	23398.04	23496.51	23383.64	297.10M	0.89%
Nov 22, 2019	23259.8	23325.33	23461.58	23254.67	372.92M	-0.09%
Nov 21, 2019	23279.78	23194.58	23371.8	23104.98	477.10M	-0.31%
Nov 20, 2019	23351.78	23220.59	23384.3	23149.95	419.63M	0.10%
Nov 19, 2019	23329.21	23520.12	23660.49	23303.44	374.66M	-0.57%
Nov 18, 2019	23463.98	23572.18	23614.55	23350.44	374.17M	-0.53%
Nov 15, 2019	23588.59	23599.52	23631.71	23462.91	337.91M	0.46%
Nov 14, 2019	23481.35	23576.47	23641.38	23480.29	378.03M	-0.41%
Nov 13, 2019	23578.43	23696.42	23726.51	23436.37	399.81M	-0.86%
Nov 12, 2019	23782.15	23555.06	23827.58	23547.77	436.42M	1.24%
Nov 11, 2019	23489.93	23453.88	23516.37	23396.47	369.32M	-0.19%
Nov 08, 2019	23534.49	23477.83	23561.58	23353.85	596.25M	0.13%
Nov 07, 2019	23503.03	23487.1	23584.84	23445.05	499.29M	0.56%
Nov 06, 2019	23373.22	23375.37	23414.89	23308.97	438.77M	0.04%
Nov 05, 2019	23364.82	23346.34	23436.01	23294.52	486.39M	0.23%
Nov 04, 2019	23311.43	23040.85	23348.56	23027.49	437.88M	1.64%
Nov 01, 2019	22934.32	22734.64	22946.01	22721.16	289.47M	1.06%
Oct 31, 2019	22693.77	22659.38	22783.36	22584.49	435.50M	0.21%
Oct 30, 2019	22646.08	22699.86	22781.8	22453.97	440.25M	-0.15%
Oct 29, 2019	22680.74	22702.8	22747.86	22615.29	327.25M	-0.07%
Oct 28, 2019	22695.64	22597.11	22749.24	22529.17	272.00M	0.38%
Oct 25, 2019	22608.99	22554.4	22608.99	22466.35	246.33M	0.36%
Oct 24, 2019	22527.42	22446.08	22548.19	22396.8	406.30M	0.79%
Oct 23, 2019	22351.07	22376.77	22441.29	22284.1	376.07M	-0.60%
Oct 22, 2019	22487.08	22504.4	22524.54	22360.61	343.21M	0.04%
Oct 21, 2019	22478.19	22346.77	22500.95	22343.81	371.78M	0.70%
Oct 18, 2019	22321.77	22405.7	22450.49	22291.24	397.16M	-0.24%
Oct 17, 2019	22375.67	22379.59	22663.27	22373.25	438.02M	-0.23%
Oct 16, 2019	22428.09	22388.45	22514.26	22286.23	495.25M	0.28%
Oct 15, 2019	22365.34	22243.57	22399.48	22168.2	413.13M	1.21%
Oct 14, 2019	22097.94	22107.54	22155.74	21992.34	294.67M	-0.30%
Oct 11, 2019	22165.34	21837.51	22165.34	21776	518.47M	1.88%
Oct 10, 2019	21756.39	21554.62	21763.77	21420.43	414.63M	1.03%
Oct 09, 2019	21533.64	21413.93	21649.44	21366.03	328.85M	0.60%
Oct 08, 2019	21405.73	21681.42	21685.09	21337.39	320.25M	-1.14%
Oct 07, 2019	21652.15	21441.55	21652.15	21378.52	258.01M	0.85%
Oct 04, 2019	21470.44	21374.37	21473.3	21258.49	411.53M	0.75%
Oct 03, 2019	21311.51	21301.76	21457.15	21127.43	391.60M	0.06%
Oct 02, 2019	21298.24	21872.05	21893.39	21298.24	552.41M	-2.87%
Oct 01, 2019	21927.57	22184.75	22293.77	21927.57	430.46M	-0.81%
Sep 30, 2019	22107.7	22007.98	22131.21	21934.74	331.57M	0.41%
Sep 27, 2019	22017.4	22020.65	22029.59	21913.25	321.17M	0.32%
Sep 26, 2019	21947.67	21791.41	22005.52	21777.93	322.27M	0.73%
Sep 25, 2019	21788.22	21795.59	21806.49	21491.97	383.40M	-0.51%
Sep 24, 2019	21901.01	21955.49	21994	21885.03	329.45M	0.01%
Sep 23, 2019	21899.88	22088.27	22110.82	21830.95	369.58M	-1.01%
Sep 20, 2019	22123.25	22190.69	22282.94	22111.55	639.68M	-0.02%
Sep 19, 2019	22128.24	21965.22	22159.73	21930.14	409.47M	0.82%
Sep 18, 2019	21947.7	21786.5	22009.36	21774.3	323.31M	0.67%
Sep 17, 2019	21801.93	21964.33	21989.26	21782.63	402.61M	-0.76%
Sep 16, 2019	21969.24	22125.42	22138.53	21897.59	433.35M	-0.96%
Sep 13, 2019	22181.41	22126.78	22229.83	22075.73	489.15M	0.44%
Sep 12, 2019	22083.17	21983.14	22141.37	21835.48	576.92M	0.88%
Sep 11, 2019	21891.57	21994.3	22032.95	21795.96	520.58M	0.10%
Sep 10, 2019	21869.01	21963.66	21989.09	21824.34	465.83M	-0.55%
Sep 09, 2019	21989.73	22007.98	22040.84	21935.18	358.18M	0.19%
Sep 06, 2019	21947.33	21967.13	22010.42	21856.68	396.57M	-0.04%
Sep 05, 2019	21955.07	21853.31	21955.07	21795.7	444.46M	1.00%
Sep 04, 2019	21737.8	21665.32	21777.23	21630.02	408.31M	1.58%
Sep 03, 2019	21399.23	21438.19	21496.96	21311.18	283.94M	-0.25%
Sep 02, 2019	21451.98	21390.48	21566.56	21388.74	227.81M	0.61%
Aug 30, 2019	21322.9	21400.31	21558.77	21254.75	402.87M	-0.35%
Aug 29, 2019	21398.17	21020.18	21440.82	20972.72	523.18M	1.94%
Aug 28, 2019	20990.71	20983.13	21013.01	20831.01	360.70M	-0.00%
Aug 27, 2019	20991.3	20732.68	21060.72	20663.54	396.65M	1.52%
Aug 26, 2019	20676.83	20482.08	20720.62	20366.61	304.98M	0.99%
Aug 23, 2019	20473.86	20963	20965.2	20473.86	399.80M	-1.65%
Aug 22, 2019	20816.99	20793.23	21044	20767.83	342.32M	-0.14%
Aug 21, 2019	20847.07	20562.7	20911.18	20561.99	308.79M	1.77%
Aug 20, 2019	20485.43	20672.86	20717.99	20451.87	323.17M	-1.11%
Aug 19, 2019	20715.49	20506.15	20729.9	20472	354.91M	1.93%
Aug 16, 2019	20322.59	20083.36	20348.05	20009.95	539.33M	1.51%
Aug 14, 2019	20020.28	20524.71	20524.71	19936.13	450.63M	-2.53%
Aug 13, 2019	20539.43	20191.09	20597.31	20067.13	506.20M	1.36%
Aug 12, 2019	20263.83	20445.57	20559.63	20243.4	328.34M	-0.30%
Aug 09, 2019	20324.23	20505.4	20584.25	20295.83	641.13M	-2.48%
Aug 08, 2019	20841.15	20737	20841.15	20597.65	356.69M	1.47%
Aug 07, 2019	20538.85	20668.69	20809.73	20407.2	472.43M	-0.45%
Aug 06, 2019	20631.74	20814.3	20915.1	20631.74	321.87M	-0.68%
Aug 05, 2019	20773.3	20880.17	20963.71	20687.87	427.32M	-1.30%
Aug 02, 2019	21046.86	21155.46	21302.71	21038.61	477.48M	-2.41%
Aug 01, 2019	21566.91	21307.36	21605.79	21302.94	372.81M	0.79%
Jul 31, 2019	21398.19	21299.94	21422.46	21265.22	380.88M	0.56%
Jul 30, 2019	21278.24	21694.91	21694.91	21235.08	483.71M	-1.99%
Jul 29, 2019	21709.3	21783.74	21865.26	21709.3	308.44M	-0.59%
Jul 26, 2019	21837.74	21909.25	21910.68	21763.7	406.28M	-0.30%
Jul 25, 2019	21903.29	22158.03	22357.39	21778.65	479.32M	-0.80%
Jul 24, 2019	22080.32	21995.72	22087.34	21933.69	312.36M	0.57%
Jul 23, 2019	21954.66	21823.79	22007.8	21795.97	332.23M	1.01%
Jul 22, 2019	21735.7	21615.82	21746.63	21587.71	298.91M	0.44%
Jul 19, 2019	21641.46	22195.29	22198.3	21627.77	509.07M	-2.03%
Jul 18, 2019	22090.81	21949.95	22196.29	21924.9	327.32M	0.05%
Jul 17, 2019	22079.38	22160.03	22237.25	22036.4	344.62M	-0.56%
Jul 16, 2019	22204.08	22158.22	22273.42	22079.1	323.59M	0.12%
Jul 15, 2019	22178.05	22238.87	22330.37	22126.67	294.10M	-0.02%
Jul 12, 2019	22182.7	22182.2	22263.04	22175.49	324.51M	0.06%
Jul 11, 2019	22169.42	22150.01	22270.1	22125.58	338.19M	0.56%
Jul 10, 2019	22044.96	21894.04	22186.02	21878.76	366.85M	0.73%
Jul 09, 2019	21886.17	21930.11	22003.47	21819.94	358.42M	-0.41%
Jul 08, 2019	21976	21942.36	22050.81	21912.18	330.14M	-0.04%
Jul 05, 2019	21985.79	22129.52	22142.43	21925.77	384.08M	-0.61%
Jul 04, 2019	22120.7	21956.71	22175.35	21930.38	488.48M	0.98%
Jul 03, 2019	21905.34	21415.04	21911.64	21403.64	584.55M	2.40%
Jul 02, 2019	21392.87	21319.53	21435.2	21244.57	337.45M	0.65%
Jul 01, 2019	21254.04	21463.79	21482.22	21254.04	354.75M	0.09%
Jun 28, 2019	21234.79	21132.42	21251.94	21078.84	349.43M	0.59%
Jun 27, 2019	21110.87	21139.5	21202.46	20996.89	332.62M	0.26%
Jun 26, 2019	21057.14	21081.66	21239.54	21020.47	367.29M	-0.34%
Jun 25, 2019	21128.41	21224.83	21283.3	21111.62	312.52M	-0.73%
Jun 24, 2019	21284.1	21314.58	21471.89	21261.77	334.48M	-0.49%
Jun 21, 2019	21388.63	21377.12	21511.39	21336.02	809.33M	0.13%
Jun 20, 2019	21361.44	21355.42	21497.6	21345.98	588.94M	0.66%
Jun 19, 2019	21221.38	21139.71	21244.37	21070.39	537.77M	0.41%
Jun 18, 2019	21133.78	20632.37	21156.69	20509.76	535.08M	2.46%
Jun 17, 2019	20626.42	20659.77	20721.92	20601.86	268.34M	0.07%
Jun 14, 2019	20612.45	20586.35	20647.15	20534.05	281.95M	-0.09%
Jun 13, 2019	20630.75	20447.01	20658.92	20391.2	303.65M	0.82%
Jun 12, 2019	20463.25	20494.01	20545.17	20429.07	335.26M	-0.71%
Jun 11, 2019	20609.7	20495.11	20704.58	20483.28	384.46M	0.61%
Jun 10, 2019	20484.99	20464.88	20495.9	20345.2	260.52M	0.61%
Jun 07, 2019	20360.59	20248.23	20454.11	20236.55	354.56M	0.91%
Jun 06, 2019	20177.81	20147.44	20396	20078.68	451.12M	0.11%
Jun 05, 2019	20155.73	20229.42	20264.27	20034.67	451.77M	-0.36%
Jun 04, 2019	20229.42	19777.69	20244.94	19753.11	470.15M	1.79%
Jun 03, 2019	19874.24	19679.84	19880.93	19593.7	354.22M	0.36%
May 31, 2019	19802.11	19729.84	19828.6	19535.5	477.09M	-0.73%
May 30, 2019	19947.92	20073.01	20172.59	19878.63	321.41M	-0.26%
May 29, 2019	19999.94	20087.25	20103.92	19927.82	401.00M	-1.29%
May 28, 2019	20260.98	20348.71	20358.76	20093.3	730.81M	-0.50%
May 27, 2019	20363.13	20417.42	20682.56	20298.5	317.57M	-0.06%
May 24, 2019	20376.03	20261.39	20463.83	20244.99	438.74M	1.19%
May 23, 2019	20136.39	20423.64	20470.34	20122.14	532.67M	-2.12%
May 22, 2019	20573.31	20651.76	20738.15	20502.9	451.60M	-0.61%
May 21, 2019	20698.61	20637.96	20708.99	20583.41	495.05M	0.77%
May 20, 2019	20539.87	20746.48	20909.33	20486.43	563.34M	-2.68%
May 17, 2019	21105.28	21151.13	21164.49	20978.95	541.21M	-0.22%
May 16, 2019	21151.8	20837.73	21151.8	20767.97	516.92M	1.38%
May 15, 2019	20863.14	20898.36	20904.32	20556.4	604.56M	-0.14%
May 14, 2019	20892.66	20699.67	20892.66	20650.4	470.33M	1.45%
May 13, 2019	20593.72	20909.46	20910.91	20586.13	460.74M	-1.35%
May 10, 2019	20874.78	21005.82	21050.96	20837.18	383.57M	0.28%
May 09, 2019	20817.16	21102.09	21103.68	20789.21	516.77M	-1.82%
May 08, 2019	21203.86	21207.35	21256.91	21030.73	482.48M	-0.07%
May 07, 2019	21219.14	21444.39	21554.81	21172.61	525.09M	-0.89%
May 06, 2019	21409.29	21316.67	21469.48	21246.26	367.71M	-1.63%
May 03, 2019	21763.48	21713.47	21811.78	21665.24	318.15M	0.24%
May 02, 2019	21710.38	21834.44	21914.77	21676.73	370.72M	-0.78%
Apr 30, 2019	21881.33	21769.93	21886.67	21752.87	350.23M	0.43%
Apr 29, 2019	21788.54	21772.06	21843.79	21652.26	334.69M	0.23%
Apr 26, 2019	21737.97	21721.97	21769.75	21590.4	336.58M	0.08%
Apr 25, 2019	21719.88	21698.43	21776.05	21652.57	301.40M	-0.02%
Apr 24, 2019	21724.44	21839.16	21889.99	21666.56	479.02M	-0.79%
Apr 23, 2019	21896.84	21950.81	21951.91	21817.74	413.89M	-0.27%
Apr 18, 2019	21956.59	21994.5	22024.06	21789.29	473.29M	-0.20%
Apr 17, 2019	22000.88	21939.37	22052.83	21889.06	530.43M	0.37%
Apr 16, 2019	21918.93	21918.94	21981.53	21806.12	421.82M	0.12%
Apr 15, 2019	21892.42	21908.9	22004.09	21841.01	406.23M	0.16%
Apr 12, 2019	21858.31	21676.99	21911.86	21633.49	574.85M	0.80%
Apr 11, 2019	21684.84	21698.1	21769.67	21477.91	477.05M	0.06%
Apr 10, 2019	21671.76	21686.93	21761.45	21618.69	364.38M	-0.00%
Apr 09, 2019	21671.78	21759.16	21898.03	21611.37	383.21M	-0.46%
Apr 08, 2019	21771.96	21772.27	21809.98	21696.39	358.12M	0.06%
Apr 05, 2019	21758.61	21751.1	21823.95	21678.56	368.97M	0.24%
Apr 04, 2019	21705.6	21695.75	21742.21	21634.05	385.14M	-0.23%
Apr 03, 2019	21755.88	21654.78	21788.86	21629.34	495.08M	1.08%
Apr 02, 2019	21522.92	21531.74	21571.64	21448.25	376.46M	0.01%
Apr 01, 2019	21520.25	21404	21547.13	21348.9	458.09M	1.10%
Mar 29, 2019	21286.13	21208.41	21294.61	21086.97	577.89M	0.97%
Mar 28, 2019	21080.97	21165.28	21213.22	21035.96	336.11M	-0.53%
Mar 27, 2019	21194.19	21189.68	21423.99	21011.38	488.63M	0.26%
Mar 26, 2019	21139.4	21106.49	21184.62	20988.38	357.77M	0.38%
Mar 25, 2019	21059.6	21016.56	21223.87	20925.09	378.63M	-0.09%
Mar 22, 2019	21078.76	21462.55	21464.02	21045.98	565.46M	-1.38%
Mar 21, 2019	21373.06	21345.8	21441.43	21265.36	360.06M	0.20%
Mar 20, 2019	21330.21	21360.18	21477.42	21330.21	397.21M	-0.47%
Mar 19, 2019	21430.35	21275.24	21483.53	21230.6	444.06M	0.92%
Mar 18, 2019	21234.61	21090.81	21255.29	21085.65	480.70M	0.90%
Mar 15, 2019	21045.41	20947.59	21111.56	20876.92	736.21M	0.80%
Mar 14, 2019	20877.43	20766.82	20971.37	20763.63	503.18M	0.62%
Mar 13, 2019	20749.2	20598.39	20757.91	20591.63	456.28M	0.57%
Mar 12, 2019	20631.19	20746.33	20746.33	20528.38	516.40M	-0.03%
Mar 11, 2019	20638.22	20588.28	20655.97	20472.06	381.30M	0.75%
Mar 08, 2019	20484.39	20563.98	20673.51	20385.86	506.13M	-1.03%
Mar 07, 2019	20697.56	20824.71	21009.88	20598.27	729.87M	-0.74%
Mar 06, 2019	20851.56	20733.55	20905.83	20677.52	548.42M	0.65%
Mar 05, 2019	20715.97	20719.66	20826.68	20657.09	447.20M	-0.01%
Mar 04, 2019	20718.3	20820.18	20857.31	20633.2	352.88M	0.11%
Mar 01, 2019	20694.53	20798.07	20835.69	20694.53	440.95M	0.17%
Feb 28, 2019	20659.46	20423.69	20683.05	20423.28	568.12M	0.78%
Feb 27, 2019	20498.79	20409.39	20560.99	20398.17	529.03M	0.19%
Feb 26, 2019	20459.59	20373.81	20507.08	20337.41	439.08M	0.11%
Feb 25, 2019	20436.96	20428.06	20488.26	20403.17	488.60M	0.86%
Feb 22, 2019	20262.51	20195.29	20292.65	20194.97	447.08M	0.26%
Feb 21, 2019	20209.72	20310.35	20345.6	20157.42	498.77M	-0.47%
Feb 20, 2019	20304.21	20270.74	20310.57	20158.83	436.18M	0.38%
Feb 19, 2019	20228.19	20299.83	20360.66	20124.97	421.89M	-0.50%
Feb 18, 2019	20329.83	20231.77	20348.44	20225.76	452.66M	0.58%
Feb 15, 2019	20212.34	19799.82	20270.53	19788.76	737.60M	1.90%
Feb 14, 2019	19834.96	20076.67	20090.93	19813.35	460.87M	-0.78%
Feb 13, 2019	19989.9	19878.07	20047.76	19844.46	411.61M	0.93%
Feb 12, 2019	19805.28	19743.46	19860.61	19673.94	402.73M	1.12%
Feb 11, 2019	19586.56	19434.61	19685.67	19424.54	440.22M	1.21%
Feb 08, 2019	19351.9	19461.78	19593.12	19267.89	483.00M	-0.65%
Feb 07, 2019	19478.32	19941.19	20002.03	19478.32	618.93M	-2.59%
Feb 06, 2019	19996.47	19763.5	20009.94	19752.91	453.62M	0.82%
Feb 05, 2019	19833.49	19650.92	19847.63	19575.45	515.77M	1.16%
Feb 04, 2019	19605.6	19564.5	19660.43	19494.42	433.71M	0.15%
Feb 01, 2019	19576.77	19752.12	19840	19356.43	576.93M	-0.78%
Jan 31, 2019	19730.78	19859.07	19904.79	19541.57	884.88M	-0.21%
Jan 30, 2019	19771.55	19728.71	19771.55	19669.77	376.03M	0.36%
Jan 29, 2019	19701.6	19593.97	19771.13	19559.64	391.27M	0.48%
Jan 28, 2019	19608.13	19734.95	19776.29	19569.24	378.10M	-1.02%
Jan 25, 2019	19810.52	19671.72	19824.8	19651.87	426.66M	1.26%
Jan 24, 2019	19564.48	19417.34	19663.45	19376.96	527.08M	0.85%
Jan 23, 2019	19400.15	19351.27	19555	19277.33	489.15M	-0.19%
Jan 22, 2019	19437.27	19522.59	19584.22	19412.6	664.41M	-1.03%
Jan 21, 2019	19638.64	19606.19	19638.64	19529.68	388.30M	-0.35%
Jan 18, 2019	19708.06	19636.71	19723	19542.96	786.97M	1.22%
Jan 17, 2019	19470.38	19357.08	19511.86	19314.34	353.53M	-0.04%
Jan 16, 2019	19477.77	19253.44	19477.77	19241	441.88M	1.63%
Jan 15, 2019	19165.48	19316.11	19379.2	19028.48	478.39M	-0.03%
Jan 14, 2019	19171.48	19163.26	19235.23	19016.16	352.63M	-0.61%
Jan 11, 2019	19290.09	19372.75	19385.6	19187.38	368.92M	-0.06%
Jan 10, 2019	19300.74	19100.51	19300.74	19037.52	365.59M	0.63%
Jan 09, 2019	19179.16	19151.96	19297.11	19125.35	421.75M	0.94%
Jan 08, 2019	19000.14	18978.14	19193.13	18922.45	411.45M	0.25%
Jan 07, 2019	18953.27	18917.43	18968.04	18800.2	337.62M	0.65%
Jan 04, 2019	18831.79	18375.6	18832.17	18373.35	427.68M	3.37%
Jan 03, 2019	18218.4	18211.83	18425.18	18152.75	432.40M	-0.61%
Jan 02, 2019	18330.99	18191.76	18409.72	17959.39	354.55M	0.04%
